datetime,location,estimator,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_LW_DWN,T2M,RH2M,PS,WS2M,AOD_55_ADJ,CLOUD_AMT,PW,T2M_RANGE,PRECTOTCORR,Z0M,V2M,AIRMASS,DISPH,EVPTRNS,PBLTOP,TO3,RHOA,SRF_ALB_ADJ,EVLAND,GWETTOP,ALLSKY_KT
2021-01-01,Ndejje ss,nasa_power,2.13,1.46,0.36,8.64,20.13,86.7,88.52,1.34,0.32,98.66,3.87,4.85,11.51,0.2,-0.59,2.73,0.99,0.46,83.95,244.13,1.04,0.16,2.14,0.83,0.22
2021-01-02,Ndejje ss,nasa_power,4.78,2.9,2.08,8.69,20.71,83.79,88.58,0.88,0.2,89.08,3.49,6.91,18.27,0.19,0.48,2.73,0.99,0.98,80.81,248.2,1.04,0.16,3.01,0.86,0.49
2021-01-03,Ndejje ss,nasa_power,5.55,3.02,3.05,8.56,21.69,76.85,88.54,1.12,0.14,92.71,2.82,10.25,0.7,0.19,-0.15,2.72,0.98,2.08,79.25,250.84,1.04,0.17,5.02,0.82,0.56
2021-01-04,Ndejje ss,nasa_power,5.14,2.72,2.92,8.59,21.54,77.83,88.48,1.66,0.15,78.39,2.6,10.22,0.73,0.19,-0.44,2.71,0.98,2.01,78.25,246.2,1.04,0.16,4.98,0.81,0.52
2021-01-05,Ndejje ss,nasa_power,5.9,2.55,4.55,8.55,22.41,72.04,88.46,1.28,0.15,54.59,2.44,10.84,0.42,0.19,-0.52,2.71,0.98,2.39,78.96,247.78,1.03,0.16,5.35,0.8,0.6
2021-01-06,Ndejje ss,nasa_power,5.58,2.73,3.1,8.59,21.98,72.16,88.52,1.62,0.12,66.56,2.42,10.57,0.13,0.19,-0.67,2.7,0.98,2.12,79.11,242.34,1.04,0.16,4.86,0.79,0.56
2021-01-07,Ndejje ss,nasa_power,6.83,1.88,7.11,8.59,22.13,69.59,88.41,1.59,0.1,22.54,2.38,12.39,0.01,0.19,-0.62,2.7,0.97,2.53,80.48,242.61,1.03,0.17,5.57,0.79,0.69
2021-01-08,Ndejje ss,nasa_power,6.56,2.23,6.21,8.63,22.43,69.57,88.37,1.79,0.18,33.78,2.58,12.2,0.0,0.19,-1.69,2.69,0.97,2.48,78.81,246.08,1.03,0.16,5.57,0.78,0.66
2021-01-09,Ndejje ss,nasa_power,3.73,2.66,0.56,8.83,22.05,75.12,88.34,2.01,0.47,95.21,3.54,11.2,0.15,0.19,-1.99,2.69,0.97,2.27,74.85,247.65,1.03,0.16,5.31,0.78,0.38
2021-01-10,Ndejje ss,nasa_power,2.65,1.96,0.32,8.67,20.99,82.94,88.41,1.42,0.53,92.37,3.77,7.59,2.82,0.19,-1.02,2.68,0.96,0.8,81.17,249.2,1.04,0.14,2.75,0.78,0.27
2021-01-11,Ndejje ss,nasa_power,2.82,2.03,0.29,8.61,21.6,78.46,88.44,1.3,0.8,93.79,3.43,6.34,15.06,0.19,-1.02,2.68,0.96,0.89,79.1,244.49,1.04,0.17,3.51,0.82,0.28
2021-01-12,Ndejje ss,nasa_power,3.8,2.53,0.71,8.66,21.9,73.94,88.47,1.48,0.69,83.38,3.59,9.95,7.98,0.19,-1.3,2.67,0.96,1.67,79.79,245.09,1.03,0.16,5.1,0.81,0.38
2021-01-13,Ndejje ss,nasa_power,4.99,2.52,2.65,8.64,22.18,74.17,88.5,1.5,0.28,72.09,3.45,10.42,2.62,0.19,-0.6,2.67,0.96,1.97,79.01,246.91,1.03,0.15,5.23,0.8,0.5
2021-01-14,Ndejje ss,nasa_power,3.66,2.44,0.89,8.77,22.51,75.62,88.45,1.56,0.38,95.64,3.31,8.95,2.31,0.19,-0.61,2.67,0.95,1.97,80.15,246.69,1.03,0.16,5.17,0.8,0.37
2021-01-15,Ndejje ss,nasa_power,4.8,2.57,2.18,8.77,22.53,73.75,88.4,1.3,0.4,87.38,3.18,10.56,2.31,0.19,-0.54,2.66,0.95,2.04,81.7,248.49,1.03,0.16,5.19,0.79,0.48
2021-01-16,Ndejje ss,nasa_power,2.52,1.69,0.62,8.79,22.05,77.83,88.38,1.35,0.28,94.7,3.01,7.51,12.76,0.19,-0.71,2.66,0.94,1.38,81.54,248.39,1.03,0.16,4.62,0.82,0.25
2021-01-17,Ndejje ss,nasa_power,4.77,2.48,2.51,8.74,21.91,77.96,88.45,1.21,0.28,71.5,2.79,7.55,6.6,0.19,-0.91,2.65,0.94,1.18,81.33,248.61,1.04,0.15,4.0,0.81,0.48
2021-01-18,Ndejje ss,nasa_power,4.33,2.45,1.78,8.79,22.24,76.36,88.42,2.01,0.38,90.85,3.41,9.75,3.51,0.18,-1.93,2.65,0.94,1.95,76.25,243.98,1.03,0.16,5.44,0.81,0.43
2021-01-19,Ndejje ss,nasa_power,3.67,2.34,1.21,8.9,22.87,76.26,88.41,1.63,0.45,91.22,3.45,9.86,5.75,0.18,-1.25,2.65,0.94,1.78,77.29,241.02,1.03,0.16,5.22,0.81,0.37
2021-01-20,Ndejje ss,nasa_power,4.73,3.07,1.37,8.72,22.4,77.55,88.46,1.8,0.38,97.03,2.83,10.13,5.25,0.18,-0.33,2.65,0.94,1.89,79.78,241.74,1.03,0.16,5.48,0.81,0.47
2021-01-21,Ndejje ss,nasa_power,5.75,3.08,3.51,8.72,22.73,76.73,88.47,1.32,0.35,92.74,2.83,8.76,7.1,0.18,0.16,2.64,0.93,1.86,79.43,243.24,1.03,0.16,5.48,0.81,0.57
2021-01-22,Ndejje ss,nasa_power,5.15,3.52,1.43,8.93,23.49,73.94,88.39,1.05,0.33,80.35,3.32,9.05,3.55,0.18,0.01,2.64,0.93,1.97,80.05,240.81,1.03,0.17,5.39,0.8,0.51
2021-01-23,Ndejje ss,nasa_power,5.16,2.48,3.11,8.94,22.81,80.13,88.37,1.49,0.25,81.7,3.22,8.67,7.29,0.18,0.49,2.64,0.93,1.91,81.41,242.09,1.03,0.16,5.1,0.81,0.51
2021-01-24,Ndejje ss,nasa_power,5.72,3.46,2.4,8.91,22.92,76.16,88.42,1.27,0.15,77.69,3.11,8.06,13.69,0.18,0.83,2.63,0.93,1.7,77.56,247.1,1.03,0.16,5.38,0.83,0.57
2021-01-25,Ndejje ss,nasa_power,3.92,2.78,0.45,8.84,23.13,72.91,88.48,0.93,0.2,89.07,2.8,8.77,5.63,0.18,0.0,2.63,0.93,1.77,77.77,245.84,1.03,0.16,4.77,0.82,0.39
2021-01-26,Ndejje ss,nasa_power,6.09,2.86,4.07,8.55,22.17,73.19,88.47,1.51,0.21,71.84,2.41,9.65,1.18,0.18,-0.12,2.63,0.92,1.71,78.97,248.92,1.03,0.16,4.57,0.81,0.6
2021-01-27,Ndejje ss,nasa_power,6.58,2.18,5.97,8.61,21.89,75.21,88.44,1.45,0.11,26.95,2.58,11.0,0.22,0.18,0.89,2.62,0.92,2.16,80.47,249.23,1.03,0.16,5.17,0.8,0.65
2021-01-28,Ndejje ss,nasa_power,7.02,2.13,6.85,8.74,22.48,72.53,88.5,1.22,0.12,45.64,2.88,10.34,0.22,0.18,0.53,2.62,0.92,2.38,80.52,248.25,1.03,0.16,5.54,0.79,0.69
2021-01-29,Ndejje ss,nasa_power,6.43,2.1,5.61,8.85,23.03,64.89,88.56,1.51,0.11,41.94,2.86,11.87,0.02,0.18,-0.32,2.62,0.92,2.51,79.51,248.34,1.03,0.16,5.82,0.78,0.63
2021-01-30,Ndejje ss,nasa_power,3.55,2.16,1.43,8.75,22.61,72.22,88.5,1.46,0.17,71.54,2.75,9.02,0.76,0.18,-0.01,2.61,0.91,1.94,78.5,246.8,1.03,0.16,4.86,0.78,0.35
2021-01-31,Ndejje ss,nasa_power,6.33,2.54,4.87,8.6,23.11,66.52,88.4,1.45,0.16,80.46,2.37,9.65,1.36,0.18,-0.03,2.61,0.91,2.2,76.96,253.83,1.03,0.16,5.44,0.77,0.62
2021-02-01,Ndejje ss,nasa_power,7.13,3.01,7.57,7.82,21.22,65.28,88.53,1.69,0.13,91.85,1.3,13.86,0.06,0.18,0.12,2.61,0.91,2.44,82.61,252.71,1.04,0.16,5.79,0.76,0.7
2021-02-02,Ndejje ss,nasa_power,6.4,3.49,4.52,8.3,22.64,64.98,88.62,1.73,0.11,77.46,1.95,12.57,0.09,0.18,0.35,2.61,0.91,2.41,80.63,249.93,1.03,0.16,5.69,0.76,0.63
2021-02-03,Ndejje ss,nasa_power,6.59,2.15,5.91,8.71,23.32,65.86,88.56,0.97,0.1,47.22,2.64,10.47,1.32,0.18,0.33,2.6,0.9,2.36,81.05,252.14,1.03,0.15,5.47,0.76,0.64
2021-02-04,Ndejje ss,nasa_power,5.99,2.53,4.51,8.81,23.06,70.37,88.53,1.24,0.14,65.47,2.68,10.09,6.15,0.18,0.44,2.6,0.9,2.08,80.79,254.3,1.03,0.14,5.46,0.77,0.58
2021-02-05,Ndejje ss,nasa_power,5.29,2.27,3.5,8.69,23.12,69.0,88.57,0.84,0.29,87.51,2.45,10.95,0.56,0.18,0.42,2.6,0.9,2.05,77.37,253.35,1.03,0.15,4.93,0.76,0.52
2021-02-06,Ndejje ss,nasa_power,5.34,2.97,2.44,8.77,23.44,65.79,88.48,1.62,0.72,61.83,2.67,10.16,0.21,0.18,-1.29,2.59,0.9,1.87,80.68,258.08,1.03,0.14,4.72,0.75,0.52
2021-02-07,Ndejje ss,nasa_power,5.6,3.0,2.49,8.73,22.27,63.12,88.35,2.01,0.62,73.38,2.76,12.32,0.0,0.18,-1.84,2.59,0.89,1.87,78.27,256.39,1.03,0.12,4.91,0.74,0.54
2021-02-08,Ndejje ss,nasa_power,6.09,2.9,3.5,8.97,22.06,68.63,88.38,1.75,0.62,61.65,3.06,13.74,0.01,0.17,-0.98,2.58,0.89,1.88,78.18,254.34,1.03,0.11,4.76,0.74,0.59
2021-02-09,Ndejje ss,nasa_power,6.17,2.74,3.96,9.04,23.1,75.26,88.43,1.42,0.5,60.3,3.66,9.15,0.3,0.17,-0.56,2.58,0.89,1.44,78.95,253.9,1.03,0.12,3.76,0.74,0.6
2021-02-10,Ndejje ss,nasa_power,4.6,3.06,0.76,9.09,23.96,72.01,88.4,1.4,0.37,96.03,3.39,9.31,0.72,0.17,-0.64,2.57,0.88,1.56,79.46,253.31,1.03,0.16,4.13,0.74,0.45
2021-02-11,Ndejje ss,nasa_power,3.59,2.45,0.39,8.95,22.8,77.96,88.46,1.82,0.39,98.43,3.56,7.21,2.26,0.17,-1.55,2.57,0.88,1.27,81.24,253.9,1.03,0.16,4.0,0.74,0.35
2021-02-12,Ndejje ss,nasa_power,4.45,2.36,1.99,8.9,23.4,72.46,88.4,1.52,0.5,89.14,3.64,10.19,2.19,0.17,-1.21,2.57,0.88,1.56,78.83,254.05,1.03,0.14,4.5,0.74,0.43
2021-02-13,Ndejje ss,nasa_power,3.21,2.27,0.28,8.94,23.06,75.68,88.47,1.01,0.66,96.44,3.4,6.86,3.38,0.17,-0.52,2.56,0.87,1.01,78.35,253.53,1.03,0.16,3.29,0.75,0.31
2021-02-14,Ndejje ss,nasa_power,5.22,2.98,1.68,8.85,21.75,84.49,88.52,1.55,0.54,79.26,3.21,4.65,1.46,0.17,1.32,2.56,0.87,0.54,83.82,254.64,1.03,0.14,1.87,0.75,0.5
2021-02-15,Ndejje ss,nasa_power,6.34,2.38,4.91,8.82,23.35,75.76,88.4,1.43,0.26,55.79,3.21,8.65,4.12,0.17,0.69,2.56,0.87,1.59,79.11,253.11,1.03,0.14,4.3,0.76,0.61
2021-02-16,Ndejje ss,nasa_power,4.33,2.52,1.75,8.94,23.1,78.63,88.37,1.06,0.32,85.01,3.11,6.35,7.26,0.17,0.76,2.55,0.87,1.15,81.71,254.41,1.03,0.15,3.53,0.77,0.42
2021-02-17,Ndejje ss,nasa_power,6.13,3.36,4.69,8.95,23.41,77.4,88.33,1.34,0.34,97.75,2.96,9.27,2.23,0.17,1.05,2.55,0.87,1.91,81.62,254.86,1.03,0.15,5.01,0.76,0.59
2021-02-18,Ndejje ss,nasa_power,4.26,2.87,0.64,8.93,23.36,78.33,88.39,1.26,0.55,97.74,2.7,7.69,2.94,0.17,0.07,2.54,0.87,1.56,81.6,257.61,1.03,0.16,4.51,0.76,0.41
2021-02-19,Ndejje ss,nasa_power,4.65,3.17,0.78,8.94,23.44,75.55,88.47,0.84,0.54,98.78,3.13,8.08,5.94,0.17,0.65,2.54,0.87,1.5,79.38,260.28,1.03,0.16,4.25,0.77,0.45
2021-02-20,Ndejje ss,nasa_power,5.76,3.7,2.39,8.95,21.93,80.91,88.55,1.81,0.45,91.25,3.0,7.47,0.66,0.17,-1.16,2.54,0.87,1.04,82.4,258.26,1.04,0.16,3.08,0.76,0.55
2021-02-21,Ndejje ss,nasa_power,6.29,3.03,3.58,8.92,20.81,75.94,88.54,1.53,0.54,66.36,2.9,5.35,0.02,0.17,-1.14,2.53,0.88,0.75,84.78,255.18,1.04,0.13,2.26,0.76,0.6
2021-02-22,Ndejje ss,nasa_power,3.47,2.56,0.27,8.83,21.08,78.72,88.55,1.61,0.73,97.4,3.66,7.86,0.55,0.17,-0.81,2.53,0.88,0.92,81.92,255.6,1.04,0.16,2.71,0.75,0.33
2021-02-23,Ndejje ss,nasa_power,5.49,3.28,1.93,8.78,21.09,78.08,88.59,1.71,0.39,96.68,3.45,9.27,2.79,0.17,-1.05,2.53,0.88,1.21,82.07,260.33,1.04,0.15,3.57,0.76,0.53
2021-02-24,Ndejje ss,nasa_power,5.2,3.03,1.98,8.81,22.38,75.26,88.53,1.9,0.51,94.13,3.15,11.79,0.1,0.17,-1.49,2.52,0.88,1.94,79.02,260.98,1.03,0.16,4.78,0.74,0.5
2021-02-25,Ndejje ss,nasa_power,4.19,2.61,0.97,8.89,22.36,74.05,88.44,1.68,0.4,86.17,2.81,10.45,0.19,0.17,-0.21,2.52,0.88,1.66,80.46,263.05,1.03,0.15,4.23,0.74,0.4
2021-02-26,Ndejje ss,nasa_power,6.88,2.33,5.58,8.64,23.27,72.62,88.43,1.61,0.2,33.04,2.75,8.5,0.49,0.17,1.18,2.51,0.88,1.8,79.58,260.73,1.03,0.14,4.65,0.73,0.66
2021-02-27,Ndejje ss,nasa_power,6.86,2.14,6.24,8.65,23.2,71.95,88.43,1.29,0.13,33.54,2.67,10.82,0.18,0.17,0.67,2.51,0.88,2.18,80.43,261.85,1.03,0.15,5.21,0.72,0.66
2021-02-28,Ndejje ss,nasa_power,6.97,2.27,5.94,8.61,24.2,65.79,88.37,1.41,0.13,20.74,2.45,10.29,0.03,0.17,0.58,2.51,0.88,2.14,79.05,258.9,1.03,0.15,5.21,0.72,0.66
2021-03-01,Ndejje ss,nasa_power,6.33,2.36,4.77,8.75,24.03,70.05,88.37,1.64,0.13,54.19,2.72,8.56,0.22,0.17,0.82,2.5,0.88,1.74,81.42,259.39,1.03,0.15,4.52,0.71,0.6
2021-03-02,Ndejje ss,nasa_power,6.62,2.36,5.03,8.77,24.28,69.84,88.35,1.78,0.13,69.01,2.82,9.41,0.49,0.17,1.08,2.5,0.88,1.82,79.48,256.15,1.02,0.14,4.81,0.71,0.63
2021-03-03,Ndejje ss,nasa_power,5.2,3.04,2.02,8.61,24.39,70.41,88.32,1.4,0.23,98.12,2.46,10.24,0.06,0.17,0.85,2.5,0.89,1.83,77.81,257.26,1.03,0.15,4.68,0.7,0.5
2021-03-04,Ndejje ss,nasa_power,4.14,2.61,1.21,8.77,23.86,72.19,88.32,1.39,0.31,98.1,2.6,8.58,0.65,0.17,0.56,2.5,0.89,1.34,79.01,258.81,1.03,0.15,3.76,0.7,0.39
2021-03-05,Ndejje ss,nasa_power,5.47,2.67,2.54,9.07,23.75,74.19,88.4,1.14,0.21,91.71,2.98,7.31,1.96,0.17,0.59,2.49,0.89,0.98,81.53,259.44,1.03,0.15,3.11,0.71,0.52
2021-03-06,Ndejje ss,nasa_power,5.83,2.71,3.7,9.18,22.12,81.83,88.44,1.79,0.25,87.82,3.1,6.43,3.36,0.17,1.23,2.49,0.89,0.59,82.24,259.81,1.03,0.14,2.35,0.72,0.56
2021-03-07,Ndejje ss,nasa_power,6.45,2.59,4.34,8.97,23.04,74.72,88.41,1.72,0.17,74.39,2.72,9.71,1.04,0.17,1.57,2.49,0.89,1.63,78.66,257.41,1.03,0.14,4.53,0.71,0.61
2021-03-08,Ndejje ss,nasa_power,5.26,3.04,3.41,8.87,23.49,73.88,88.35,1.33,0.34,93.43,2.6,10.33,0.73,0.17,0.69,2.49,0.89,1.69,77.31,259.68,1.03,0.15,4.4,0.7,0.5
2021-03-09,Ndejje ss,nasa_power,6.31,2.78,3.96,8.8,23.27,73.98,88.42,1.53,0.23,79.79,2.42,11.0,1.19,0.17,0.77,2.48,0.89,1.68,76.71,257.68,1.03,0.14,4.71,0.7,0.6
2021-03-10,Ndejje ss,nasa_power,6.74,2.22,5.83,8.7,23.76,67.85,88.39,1.94,0.17,29.14,2.33,10.3,0.57,0.18,1.06,2.48,0.89,1.87,79.65,256.46,1.03,0.14,5.04,0.7,0.64
2021-03-11,Ndejje ss,nasa_power,7.58,1.84,7.67,8.64,24.07,67.43,88.33,2.02,0.11,24.58,2.16,11.7,0.06,0.18,1.37,2.48,0.89,1.91,80.71,257.95,1.03,0.14,4.96,0.69,0.72
2021-03-12,Ndejje ss,nasa_power,7.13,2.29,7.33,8.68,24.41,64.18,88.32,1.85,0.12,73.9,2.2,12.04,0.0,0.18,1.16,2.48,0.89,1.92,80.01,259.2,1.02,0.15,4.95,0.68,0.68
2021-03-13,Ndejje ss,nasa_power,6.55,3.43,4.25,8.72,24.63,64.45,88.33,2.1,0.11,97.57,2.18,11.9,0.01,0.18,1.29,2.48,0.89,1.86,80.0,263.23,1.02,0.14,4.93,0.68,0.62
2021-03-14,Ndejje ss,nasa_power,6.32,2.36,5.0,8.73,25.02,64.94,88.28,1.77,0.17,87.3,2.33,10.72,0.02,0.18,1.31,2.47,0.9,1.8,78.4,263.71,1.02,0.14,4.78,0.67,0.6
2021-03-15,Ndejje ss,nasa_power,5.9,2.25,4.15,8.73,23.95,71.75,88.23,1.28,0.21,86.04,2.62,6.1,0.15,0.18,1.05,2.48,0.9,0.78,79.77,263.3,1.03,0.14,2.37,0.68,0.56
2021-03-16,Ndejje ss,nasa_power,5.3,2.48,3.13,8.66,23.2,75.03,88.22,0.96,0.21,95.02,2.9,6.71,3.78,0.18,0.35,2.47,0.9,0.56,77.99,267.83,1.03,0.14,2.32,0.69,0.51
2021-03-17,Ndejje ss,nasa_power,5.7,3.43,3.5,8.72,23.12,77.59,88.33,1.24,0.32,98.82,3.14,8.07,4.19,0.18,0.69,2.47,0.9,0.96,80.85,264.43,1.03,0.15,3.18,0.7,0.54
2021-03-18,Ndejje ss,nasa_power,5.94,3.09,3.64,8.77,22.13,80.19,88.4,0.81,0.2,90.16,3.37,6.21,1.23,0.18,0.35,2.47,0.91,0.52,81.66,263.25,1.03,0.15,1.9,0.7,0.57
2021-03-19,Ndejje ss,nasa_power,5.75,2.71,3.26,8.79,23.15,74.69,88.32,1.01,0.13,90.16,3.11,9.05,2.32,0.18,0.62,2.47,0.91,0.99,74.63,262.29,1.03,0.16,3.41,0.7,0.55
2021-03-20,Ndejje ss,nasa_power,6.3,2.39,4.64,8.88,22.57,80.2,88.26,1.04,0.17,84.12,3.28,6.2,12.35,0.18,0.78,2.47,0.91,0.97,82.08,263.12,1.03,0.15,2.92,0.74,0.6
2021-03-21,Ndejje ss,nasa_power,5.08,2.32,3.86,8.76,22.15,80.94,88.26,1.58,0.15,92.9,3.58,6.35,1.72,0.18,1.33,2.47,0.92,0.93,79.89,268.02,1.03,0.15,2.95,0.72,0.49
2021-03-22,Ndejje ss,nasa_power,4.08,2.87,1.15,8.59,22.01,81.38,88.39,1.84,0.11,99.17,3.28,6.71,7.64,0.18,1.45,2.48,0.92,0.91,82.44,266.54,1.03,0.15,3.1,0.74,0.39
2021-03-23,Ndejje ss,nasa_power,5.34,2.58,3.06,8.63,22.96,76.61,88.43,1.97,0.12,95.9,2.81,8.96,1.76,0.18,1.46,2.48,0.93,1.79,80.34,264.95,1.03,0.14,4.69,0.72,0.51
2021-03-24,Ndejje ss,nasa_power,6.95,2.45,5.88,8.62,22.6,78.21,88.4,1.73,0.15,50.84,2.55,8.73,2.35,0.18,1.34,2.48,0.93,1.35,79.55,268.71,1.03,0.15,3.83,0.72,0.66
2021-03-25,Ndejje ss,nasa_power,6.98,2.59,5.64,8.68,22.38,80.07,88.34,1.73,0.13,55.07,2.37,9.16,0.81,0.18,1.62,2.48,0.93,1.43,81.17,269.01,1.03,0.14,3.72,0.71,0.67
2021-03-26,Ndejje ss,nasa_power,5.98,3.69,3.93,8.73,23.02,76.62,88.41,1.32,0.28,97.13,2.69,10.84,0.26,0.18,1.11,2.48,0.94,1.74,78.75,267.04,1.03,0.15,4.22,0.7,0.57
2021-03-27,Ndejje ss,nasa_power,4.06,2.95,0.36,8.63,21.7,76.65,88.57,1.56,0.32,96.33,3.2,7.92,0.48,0.18,1.04,2.48,0.94,0.78,82.06,264.48,1.04,0.15,2.36,0.7,0.39
2021-03-28,Ndejje ss,nasa_power,5.89,2.84,3.5,8.74,22.41,71.22,88.54,0.92,0.23,90.93,2.97,9.41,1.45,0.19,0.38,2.49,0.95,1.28,79.49,261.86,1.04,0.15,3.64,0.7,0.56
2021-03-29,Ndejje ss,nasa_power,3.79,2.46,1.05,8.92,23.07,74.11,88.47,1.44,0.18,89.14,3.45,7.72,2.89,0.19,1.09,2.49,0.95,1.17,80.94,263.64,1.03,0.15,3.88,0.7,0.36
2021-03-30,Ndejje ss,nasa_power,2.68,1.56,1.06,8.76,22.48,80.38,88.4,1.2,0.27,92.23,3.64,5.97,4.38,0.19,0.97,2.49,0.95,0.71,82.71,263.42,1.03,0.13,2.59,0.71,0.26
2021-03-31,Ndejje ss,nasa_power,4.79,2.76,1.06,8.81,21.31,85.69,88.47,1.44,0.29,96.82,3.56,5.86,24.0,0.19,0.78,2.49,0.96,0.66,81.9,266.68,1.04,0.15,2.36,0.79,0.46
2021-04-01,Ndejje ss,nasa_power,6.63,2.56,4.87,8.85,22.2,81.61,88.49,1.9,0.18,60.66,3.17,8.29,4.32,0.19,1.77,2.5,0.96,1.87,81.92,266.04,1.03,0.16,4.94,0.75,0.64
2021-04-02,Ndejje ss,nasa_power,3.26,1.98,1.27,8.7,21.89,86.33,88.54,1.21,0.25,96.24,3.24,5.15,11.65,0.19,1.13,2.5,0.96,0.55,83.44,260.72,1.03,0.15,2.23,0.78,0.31
2021-04-03,Ndejje ss,nasa_power,5.94,2.42,4.21,8.77,21.98,80.35,88.52,1.47,0.23,83.28,3.36,8.37,11.15,0.19,1.09,2.51,0.96,1.75,82.11,258.45,1.04,0.15,4.38,0.78,0.57
2021-04-04,Ndejje ss,nasa_power,5.6,2.65,3.47,8.86,20.86,87.25,88.55,1.49,0.26,88.55,3.53,5.38,9.85,0.19,1.17,2.51,0.97,0.6,81.96,262.85,1.04,0.15,2.18,0.79,0.54
2021-04-05,Ndejje ss,nasa_power,5.89,3.03,3.52,8.84,21.9,83.18,88.56,1.4,0.24,94.0,3.55,6.43,2.18,0.19,1.28,2.51,0.97,1.32,82.65,261.54,1.04,0.16,3.81,0.77,0.57
2021-04-06,Ndejje ss,nasa_power,5.91,2.74,3.85,8.88,21.4,79.98,88.55,1.26,0.16,92.44,3.41,8.01,3.12,0.19,1.12,2.52,0.97,1.33,81.49,261.05,1.04,0.16,3.67,0.76,0.57
2021-04-07,Ndejje ss,nasa_power,7.16,2.03,6.57,8.76,22.67,77.31,88.54,1.1,0.1,61.16,3.31,8.63,4.18,0.19,0.22,2.52,0.98,1.61,78.95,263.48,1.03,0.16,4.51,0.76,0.69
2021-04-08,Ndejje ss,nasa_power,6.56,2.53,5.12,8.76,21.65,85.77,88.52,1.62,0.13,81.73,3.33,5.94,4.9,0.19,1.44,2.53,0.98,0.97,83.09,263.22,1.04,0.15,2.81,0.77,0.64
2021-04-09,Ndejje ss,nasa_power,5.92,2.77,3.64,8.71,21.12,88.68,88.43,1.58,0.16,89.74,3.33,5.11,4.14,0.19,1.52,2.53,0.98,0.59,83.18,265.38,1.04,0.15,2.1,0.76,0.58
2021-04-10,Ndejje ss,nasa_power,5.91,2.89,3.36,8.77,21.72,83.5,88.38,1.62,0.17,84.97,3.12,7.71,11.35,0.19,1.48,2.54,0.98,1.47,81.8,265.75,1.03,0.15,3.98,0.79,0.58
2021-04-11,Ndejje ss,nasa_power,5.79,2.71,3.7,8.73,21.55,86.91,88.44,2.25,0.23,93.92,3.16,5.18,3.55,0.19,2.15,2.54,0.98,0.82,82.08,266.28,1.03,0.15,2.79,0.77,0.56
2021-04-12,Ndejje ss,nasa_power,5.7,3.0,3.38,8.68,20.81,88.16,88.58,1.67,0.29,96.66,3.03,5.95,7.2,0.19,0.66,2.55,0.99,0.72,82.39,265.55,1.04,0.14,2.32,0.79,0.56
2021-04-13,Ndejje ss,nasa_power,3.7,2.59,0.42,8.66,19.97,92.13,88.62,1.41,0.24,91.84,3.13,3.98,13.51,0.2,0.99,2.55,0.99,0.24,84.94,264.47,1.04,0.15,1.39,0.8,0.36
2021-04-14,Ndejje ss,nasa_power,6.49,2.36,4.96,8.79,21.61,80.47,88.57,1.06,0.18,72.15,3.34,9.03,0.43,0.2,0.6,2.56,0.99,2.13,80.5,265.2,1.04,0.15,4.57,0.77,0.64
2021-04-15,Ndejje ss,nasa_power,5.14,2.99,3.74,8.79,22.0,81.42,88.49,1.42,0.16,98.49,3.16,8.19,0.2,0.2,1.17,2.56,0.99,1.98,79.65,265.65,1.03,0.15,4.25,0.76,0.5
2021-04-16,Ndejje ss,nasa_power,5.03,2.26,3.33,8.73,22.11,82.9,88.46,1.6,0.19,83.89,2.97,8.48,0.81,0.2,1.53,2.57,1.0,2.12,79.79,268.66,1.03,0.15,4.74,0.75,0.49
2021-04-17,Ndejje ss,nasa_power,6.97,1.83,6.58,8.7,22.06,85.02,88.44,1.34,0.13,53.3,3.19,6.34,6.08,0.2,1.19,2.57,1.0,1.01,79.58,267.56,1.03,0.15,3.11,0.77,0.69
2021-04-18,Ndejje ss,nasa_power,5.56,2.86,2.94,8.76,21.64,87.8,88.46,1.38,0.15,87.69,3.43,4.31,2.6,0.2,1.01,2.58,1.0,0.49,84.77,263.56,1.03,0.15,1.86,0.76,0.55
2021-04-19,Ndejje ss,nasa_power,4.26,2.22,2.29,8.68,22.83,82.16,88.47,1.61,0.11,81.43,3.6,6.55,17.96,0.2,0.77,2.59,1.0,1.29,81.37,267.57,1.03,0.16,4.16,0.81,0.42
2021-04-20,Ndejje ss,nasa_power,4.52,2.81,1.87,8.6,21.99,85.15,88.49,1.5,0.16,95.3,3.51,6.45,6.48,0.2,1.15,2.59,1.01,1.35,81.52,266.82,1.03,0.15,3.68,0.79,0.45
2021-04-21,Ndejje ss,nasa_power,4.76,3.31,0.57,8.68,20.72,89.81,88.54,1.59,0.19,99.01,3.5,5.32,9.18,0.2,1.25,2.6,1.01,0.54,82.71,267.24,1.04,0.15,2.27,0.8,0.47
2021-04-22,Ndejje ss,nasa_power,4.67,2.64,1.53,8.75,21.65,85.83,88.54,1.7,0.26,96.91,3.73,5.49,1.59,0.2,1.6,2.6,1.01,1.02,83.51,265.42,1.04,0.15,2.96,0.78,0.46
2021-04-23,Ndejje ss,nasa_power,5.66,2.36,4.02,8.8,20.99,85.61,88.46,1.15,0.18,77.97,3.96,5.98,9.59,0.2,1.01,2.61,1.01,0.65,84.09,263.77,1.04,0.16,2.35,0.8,0.56
