MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE,location
2023-09-01,0.0,Kenya,-0.224,35.88,Location12
2023-09-02,0.0,Kenya,-0.224,35.88,Location12
2023-09-03,0.0,Kenya,-0.224,35.88,Location12
2023-09-04,0.0,Kenya,-0.224,35.88,Location12
2023-09-05,0.0,Kenya,-0.224,35.88,Location12
2023-09-06,0.0,Kenya,-0.224,35.88,Location12
2023-09-07,0.0,Kenya,-0.224,35.88,Location12
2023-09-08,0.0,Kenya,-0.224,35.88,Location12
2023-09-09,0.0,Kenya,-0.224,35.88,Location12
2023-09-10,0.0,Kenya,-0.224,35.88,Location12
2023-09-11,0.0,Kenya,-0.224,35.88,Location12
2023-09-12,0.0,Kenya,-0.224,35.88,Location12
2023-09-13,0.0,Kenya,-0.224,35.88,Location12
2023-09-14,0.0,Kenya,-0.224,35.88,Location12
2023-09-15,0.0,Kenya,-0.224,35.88,Location12
2023-09-16,0.0,Kenya,-0.224,35.88,Location12
2023-09-17,0.0,Kenya,-0.224,35.88,Location12
2023-09-18,0.0,Kenya,-0.224,35.88,Location12
2023-09-19,0.0,Kenya,-0.224,35.88,Location12
2023-09-20,0.0,Kenya,-0.224,35.88,Location12
2023-09-21,0.0,Kenya,-0.224,35.88,Location12
2023-09-22,0.0,Kenya,-0.224,35.88,Location12
2023-09-23,0.0,Kenya,-0.224,35.88,Location12
2023-09-24,0.0,Kenya,-0.224,35.88,Location12
2023-09-25,0.0,Kenya,-0.224,35.88,Location12
2023-09-26,0.0,Kenya,-0.224,35.88,Location12
2023-09-27,0.0,Kenya,-0.224,35.88,Location12
2023-09-28,0.0,Kenya,-0.224,35.88,Location12
2023-09-29,0.0,Kenya,-0.224,35.88,Location12
2023-09-30,0.0,Kenya,-0.224,35.88,Location12
2023-10-01,0.0,Kenya,-0.224,35.88,Location12
2023-10-02,0.0,Kenya,-0.224,35.88,Location12
2023-10-03,0.0,Kenya,-0.224,35.88,Location12
2023-10-04,0.0,Kenya,-0.224,35.88,Location12
2023-10-05,0.0,Kenya,-0.224,35.88,Location12
2023-10-06,0.0,Kenya,-0.224,35.88,Location12
2023-10-07,0.0,Kenya,-0.224,35.88,Location12
2023-10-08,0.0,Kenya,-0.224,35.88,Location12
2023-10-09,0.0,Kenya,-0.224,35.88,Location12
2023-10-10,0.0,Kenya,-0.224,35.88,Location12
2023-10-11,0.0,Kenya,-0.224,35.88,Location12
2023-10-12,0.0,Kenya,-0.224,35.88,Location12
2023-10-13,0.0,Kenya,-0.224,35.88,Location12
2023-10-14,0.0,Kenya,-0.224,35.88,Location12
2023-10-15,0.0,Kenya,-0.224,35.88,Location12
2023-10-16,0.0,Kenya,-0.224,35.88,Location12
2023-10-17,0.0,Kenya,-0.224,35.88,Location12
2023-10-18,0.0,Kenya,-0.224,35.88,Location12
2023-10-19,0.0,Kenya,-0.224,35.88,Location12
2023-10-20,0.0,Kenya,-0.224,35.88,Location12
2023-10-21,0.0,Kenya,-0.224,35.88,Location12
2023-10-22,0.0,Kenya,-0.224,35.88,Location12
2023-10-23,0.0,Kenya,-0.224,35.88,Location12
2023-10-24,0.0,Kenya,-0.224,35.88,Location12
2023-10-25,0.0,Kenya,-0.224,35.88,Location12
2023-10-26,0.0,Kenya,-0.224,35.88,Location12
2023-10-27,0.0,Kenya,-0.224,35.88,Location12
2023-10-28,0.0,Kenya,-0.224,35.88,Location12
2023-10-29,0.0,Kenya,-0.224,35.88,Location12
2023-10-30,0.0,Kenya,-0.224,35.88,Location12
2023-10-31,0.0,Kenya,-0.224,35.88,Location12
2023-11-01,0.0,Kenya,-0.224,35.88,Location12
2023-11-02,0.0,Kenya,-0.224,35.88,Location12
2023-11-03,0.0,Kenya,-0.224,35.88,Location12
2023-11-04,0.0,Kenya,-0.224,35.88,Location12
2023-11-05,0.0,Kenya,-0.224,35.88,Location12
2023-11-06,0.0,Kenya,-0.224,35.88,Location12
2023-11-07,0.0,Kenya,-0.224,35.88,Location12
2023-11-08,0.0,Kenya,-0.224,35.88,Location12
2023-11-09,0.0,Kenya,-0.224,35.88,Location12
2023-11-10,0.0,Kenya,-0.224,35.88,Location12
2023-11-11,0.0,Kenya,-0.224,35.88,Location12
2023-11-12,0.0,Kenya,-0.224,35.88,Location12
2023-11-13,0.0,Kenya,-0.224,35.88,Location12
2023-11-14,0.0,Kenya,-0.224,35.88,Location12
2023-11-15,0.0,Kenya,-0.224,35.88,Location12
2023-11-16,0.0,Kenya,-0.224,35.88,Location12
2023-11-17,0.0,Kenya,-0.224,35.88,Location12
2023-11-18,0.0,Kenya,-0.224,35.88,Location12
2023-11-19,0.0,Kenya,-0.224,35.88,Location12
2023-11-20,0.0,Kenya,-0.224,35.88,Location12
2023-11-21,0.0,Kenya,-0.224,35.88,Location12
2023-11-22,0.0,Kenya,-0.224,35.88,Location12
2023-11-23,0.0,Kenya,-0.224,35.88,Location12
2023-11-24,0.0,Kenya,-0.224,35.88,Location12
2023-11-25,0.0,Kenya,-0.224,35.88,Location12
2023-11-26,0.0,Kenya,-0.224,35.88,Location12
2023-11-27,0.0,Kenya,-0.224,35.88,Location12
2023-11-28,0.0,Kenya,-0.224,35.88,Location12
2023-11-29,0.0,Kenya,-0.224,35.88,Location12
2023-11-30,0.0,Kenya,-0.224,35.88,Location12
2023-12-01,0.0,Kenya,-0.224,35.88,Location12
2023-12-02,0.0,Kenya,-0.224,35.88,Location12
2023-12-03,0.0,Kenya,-0.224,35.88,Location12
2023-12-04,0.0,Kenya,-0.224,35.88,Location12
2023-12-05,0.0,Kenya,-0.224,35.88,Location12
2023-12-06,0.0,Kenya,-0.224,35.88,Location12
2023-12-07,0.0,Kenya,-0.224,35.88,Location12
2023-12-08,0.0,Kenya,-0.224,35.88,Location12
2023-12-09,0.0,Kenya,-0.224,35.88,Location12
2023-12-10,0.0,Kenya,-0.224,35.88,Location12
2023-12-11,0.0,Kenya,-0.224,35.88,Location12
2023-12-12,0.0,Kenya,-0.224,35.88,Location12
2023-12-13,0.0,Kenya,-0.224,35.88,Location12
2023-12-14,0.0,Kenya,-0.224,35.88,Location12
2023-12-15,0.0,Kenya,-0.224,35.88,Location12
2023-12-16,0.0,Kenya,-0.224,35.88,Location12
2023-12-17,0.0,Kenya,-0.224,35.88,Location12
2023-12-18,0.0,Kenya,-0.224,35.88,Location12
2023-12-19,0.0,Kenya,-0.224,35.88,Location12
2023-12-20,0.0,Kenya,-0.224,35.88,Location12
2023-12-21,0.0,Kenya,-0.224,35.88,Location12
2023-12-22,0.0,Kenya,-0.224,35.88,Location12
2023-12-23,0.0,Kenya,-0.224,35.88,Location12
2023-12-24,0.0,Kenya,-0.224,35.88,Location12
2023-12-25,0.0,Kenya,-0.224,35.88,Location12
2023-12-26,0.0,Kenya,-0.224,35.88,Location12
2023-12-27,0.0,Kenya,-0.224,35.88,Location12
2023-12-28,0.0,Kenya,-0.224,35.88,Location12
2023-12-29,0.0,Kenya,-0.224,35.88,Location12
2023-12-30,0.0,Kenya,-0.224,35.88,Location12
2023-12-31,0.0,Kenya,-0.224,35.88,Location12
2024-01-01,0.0,Kenya,-0.224,35.88,Location12
2024-01-02,0.0,Kenya,-0.224,35.88,Location12
2024-01-03,0.0,Kenya,-0.224,35.88,Location12
2024-01-04,0.0,Kenya,-0.224,35.88,Location12
2024-01-05,0.0,Kenya,-0.224,35.88,Location12
2024-01-06,0.0,Kenya,-0.224,35.88,Location12
2024-01-07,0.0,Kenya,-0.224,35.88,Location12
2024-01-08,0.0,Kenya,-0.224,35.88,Location12
